Critère,Validé
"L’entreprise est une PME (effectif < 250, CA < 50 M€, bilan < 43 M€)",No
L’entreprise n’est pas en difficulté financière (règlement UE n°651/2014),No
"L’entreprise est soumise au régime réel ou exonérée (IS, IR, zones spécifiques)",No
Le projet concerne un prototype ou une installation pilote,No
Le produit est inédit et non disponible sur le marché,No
"Le produit présente des performances supérieures (technique, ergonomie, éco-conception, fonctionnalités)",No
Le produit a une vocation commerciale (mise sur le marché),No
"Les dépenses sont éligibles (personnel, sous-traitance, amortissements, propriété intellectuelle, pertes/dommages)",No
Les subventions publiques ont été déduites de l’assiette des dépenses éligibles,No
Les dépenses ne sont pas incluses dans le CIR,No
Le formulaire unique 2069-A-SD a été complété (paragraphe IV),No
La synthèse financière a été réalisée,No
Le dossier technique justificatif a été rédigé,No
"Les justificatifs (fiches de paie, contrats, feuilles de temps…) ont été regroupés",No
